ipa,pos,translation,grammar,derivation,notes
tiln,n,"moitié, fraction, partie",nom,racine,expansion T2 ; grappe : la quantité et le nombre
tilnas,n,"fractionnalité, divisibilité",nom,tiln + -as (abstrait),expansion T2 (abstrait)
tilnut,n,un fragment,nom,tiln + -ut (résultatif),expansion T2 (résultatif)
pulx,v.stat,"être excessif, dépasser la mesure",verbe statif,racine,expansion T2 ; grappe : la quantité et le nombre
pulxas,n,"excès, débordement",nom,pulx + -as (abstrait),expansion T2 (abstrait)
kʼapulx,v.stat,"être insuffisant, manquer",verbe statif,pulx + kʼa- (privatif),expansion T2 (privatif)
malik,n,"multitude, foule, ensemble",nom,racine,expansion T2 ; grappe : la quantité et le nombre
malikas,n,"multiplicité, pluralité",nom,malik + -as (abstrait),expansion T2 (abstrait)
malikut,n,un groupe,nom,malik + -ut (résultatif),expansion T2 (résultatif)
hirp,v.stat,"augmenter, croître en nombre",verbe statif,racine,expansion T2 ; grappe : la quantité et le nombre
hirpar,n,celui qui augmente,nom,hirp + -ar (agentif),expansion T2 (agentif)
hirpas,n,"croissance, augmentation",nom,hirp + -as (abstrait),expansion T2 (abstrait)
kalp,v.stat,"distribuer équitablement, doser",verbe statif,racine,expansion T2 ; grappe : la quantité et le nombre
kalpar,n,celui qui distribue,nom,kalp + -ar (agentif),expansion T2 (agentif)
kalpil,n,l'outil de dosage,nom,kalp + -il (instrumental),expansion T2 (instrumental)
krap,v,"être étroit, serré, comprimé",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
krapar,n,"celui qui serre, qui comprime",nom,krap + -ar (agentif),expansion T2 (agentif)
krapas,n,"l'étroitesse, le serrement",nom,krap + -as (abstrait),expansion T2 (abstrait)
kʼakrap,v.stat,"être large, espacé (contraire)",verbe statif,krap + kʼa- (privatif),expansion T2 (privatif)
lurk,v,"être long, s'étendre",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
lurkut,n,la longueur (résultat mesuré),nom,lurk + -ut (résultatif),expansion T2 (résultatif)
lurkas,n,"la longueur, l'extension (qualité)",nom,lurk + -as (abstrait),expansion T2 (abstrait)
kʼalurk,v.stat,"être court, limité",verbe statif,lurk + kʼa- (privatif),expansion T2 (privatif)
krux,v,"être épais, massif",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
kruxas,n,"l'épaisseur, la masse",nom,krux + -as (abstrait),expansion T2 (abstrait)
kruxus,v.stat,"avoir besoin d'épaisseur, vouloir renforcer",verbe statif,krux + -us (désidératif),expansion T2 (désidératif)
kʼakrux,v.stat,"être mince, fin",verbe statif,krux + kʼa- (privatif),expansion T2 (privatif)
hirn,v,"être éparpillé, dispersé, fragmenté",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
hirnar,n,celui qui disperse,nom,hirn + -ar (agentif),expansion T2 (agentif)
hirnas,n,"la dispersion, la fragmentation",nom,hirn + -as (abstrait),expansion T2 (abstrait)
trak,v,"être profond, avoir de la profondeur",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
trakut,n,la profondeur (mesure),nom,trak + -ut (résultatif),expansion T2 (résultatif)
trakas,n,la profondeur (qualité abstraite),nom,trak + -as (abstrait),expansion T2 (abstrait)
lumk,v,"être creux, vide, concave",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
lumkut,n,"le vide, la concavité (résultat)",nom,lumk + -ut (résultatif),expansion T2 (résultatif)
lumkil,n,l'outil creusant,nom,lumk + -il (instrumental),expansion T2 (instrumental)
kʼalumk,v.stat,"être plein, convexe",verbe statif,lumk + kʼa- (privatif),expansion T2 (privatif)
link,v,"être mince, ténu, délicat",radical verbal,racine,"expansion T2 ; grappe : la taille, la forme, la mesure"
linkas,n,"la ténuité, la délicatesse",nom,link + -as (abstrait),expansion T2 (abstrait)
linkus,v.stat,avoir envie de finesse,verbe statif,link + -us (désidératif),expansion T2 (désidératif)
kʼalink,v.stat,"être épais, robuste",verbe statif,link + kʼa- (privatif),expansion T2 (privatif)
sil,v.stat,"être jaune, doré, aurescent",verbe statif,racine,expansion T2 ; grappe : la couleur et l'apparence
silas,n,"jaunisse, teinte dorée, aurescence",nom,sil + -as (abstrait),expansion T2 (abstrait)
silus,v.stat,"devenir jaune, jaunir",verbe statif,sil + -us (désidératif),expansion T2 (désidératif)
kʼasil,v.stat,être sans teinte jaune,verbe statif,sil + kʼa- (privatif),expansion T2 (privatif)
nuk,v.stat,"être vert, verdoyant, végétal en couleur",verbe statif,racine,expansion T2 ; grappe : la couleur et l'apparence
nukas,n,"verdeur, teinte verte, qualité verte",nom,nuk + -as (abstrait),expansion T2 (abstrait)
nukut,n,"chose verte, matière verte",nom,nuk + -ut (résultatif),expansion T2 (résultatif)
kʼanuk,v.stat,"être non-vert, fade",verbe statif,nuk + kʼa- (privatif),expansion T2 (privatif)
lum,n,"forme, contour, silhouette, profil",nom,racine,expansion T2 ; grappe : la couleur et l'apparence
lumar,n,"celui qui donne forme, sculpteur",nom,lum + -ar (agentif),expansion T2 (agentif)
lumil,n,"outil de modelage, ciseau",nom,lum + -il (instrumental),expansion T2 (instrumental)
lumas,n,"art de la forme, morphologie",nom,lum + -as (abstrait),expansion T2 (abstrait)
ham,v.stat,"être transparent, translucide, cristallin",verbe statif,racine,expansion T2 ; grappe : la couleur et l'apparence
hamas,n,"transparence, clarté optique",nom,ham + -as (abstrait),expansion T2 (abstrait)
hamus,v.stat,"vouloir voir clair, désirer la transparence",verbe statif,ham + -us (désidératif),expansion T2 (désidératif)
mart,v,"mourir, cesser de vivre, périr",radical verbal,racine,"expansion T2 ; grappe : la vie, la mort, la santé, la maladie"
martut,n,"mort, ce qui est mort",nom,mart + -ut (résultatif),expansion T2 (résultatif)
martas,n,"mort, le phénomène/domaine du trépas",nom,mart + -as (abstrait),expansion T2 (abstrait)
sal,v.stat,"être fort, vigoureux, robuste",verbe statif,racine,"expansion T2 ; grappe : la vie, la mort, la santé, la maladie"
salas,n,"force, vigueur, robustesse",nom,sal + -as (abstrait),expansion T2 (abstrait)
kʼasal,v.stat,"être faible, manquer de force",verbe statif,sal + kʼa- (privatif),expansion T2 (privatif)
pirn,v.stat,"être vieux, âgé, usé par le temps",verbe statif,racine,"expansion T2 ; grappe : la vie, la mort, la santé, la maladie"
pirnas,n,"vieillesse, l'état d'être âgé",nom,pirn + -as (abstrait),expansion T2 (abstrait)
pirnar,n,"ancien, personne âgée",nom,pirn + -ar (agentif),expansion T2 (agentif)
lik,v.stat,"être jeune, frais, vigoureux de jeunesse",verbe statif,racine,"expansion T2 ; grappe : la vie, la mort, la santé, la maladie"
likas,n,"jeunesse, l'état de jeune",nom,lik + -as (abstrait),expansion T2 (abstrait)
kʼalik,v.stat,"ne pas être jeune, être sans jeunesse",verbe statif,lik + kʼa- (privatif),expansion T2 (privatif)
xant,v,"respirer, avoir du souffle, vivre",radical verbal,racine,"expansion T2 ; grappe : la vie, la mort, la santé, la maladie"
xantar,n,"respirant, vivant (littéralement)",nom,xant + -ar (agentif),expansion T2 (agentif)
xantil,n,poumon ou outil de respiration,nom,xant + -il (instrumental),expansion T2 (instrumental)
hupt,v,"accoucher, donner naissance, être en travail",radical verbal,racine,"expansion T2 ; grappe : la vie, la mort, la santé, la maladie"
huptar,n,"accoucheuse, femme qui enfante",nom,hupt + -ar (agentif),expansion T2 (agentif)
huptut,n,"accouchement, enfantement",nom,hupt + -ut (résultatif),expansion T2 (résultatif)
prul,v.stat,"être courageux, audacieux, sans peur",verbe statif,racine,expansion T2 ; grappe : les qualités morales et le caractère
prular,n,"personne courageuse, héros",nom,prul + -ar (agentif),expansion T2 (agentif)
prulas,n,"courage, audace",nom,prul + -as (abstrait),expansion T2 (abstrait)
kʼaprul,v.stat,"être couard, lâche",verbe statif,prul + kʼa- (privatif),expansion T2 (privatif)
miln,v.stat,"être cruel, impitoyable, violent",verbe statif,racine,expansion T2 ; grappe : les qualités morales et le caractère
milnar,n,"personne cruelle, tyran",nom,miln + -ar (agentif),expansion T2 (agentif)
milnas,n,"cruauté, brutalité",nom,miln + -as (abstrait),expansion T2 (abstrait)
kʼamiln,v.stat,"être doux, clément",verbe statif,miln + kʼa- (privatif),expansion T2 (privatif)
kunt,v.stat,"être humble, modeste, soumis",verbe statif,racine,expansion T2 ; grappe : les qualités morales et le caractère
kuntar,n,personne humble,nom,kunt + -ar (agentif),expansion T2 (agentif)
kuntas,n,"humilité, modestie",nom,kunt + -as (abstrait),expansion T2 (abstrait)
kuntus,v.stat,désirer être humble,verbe statif,kunt + -us (désidératif),expansion T2 (désidératif)
rink,v.stat,"être juste, équitable, impartial",verbe statif,racine,expansion T2 ; grappe : les qualités morales et le caractère
rinkar,n,"juge, arbitre juste",nom,rink + -ar (agentif),expansion T2 (agentif)
rinkas,n,"justice, équité",nom,rink + -as (abstrait),expansion T2 (abstrait)
kʼarink,v.stat,"être injuste, partial",verbe statif,rink + kʼa- (privatif),expansion T2 (privatif)
xilm,v.stat,"être perfide, fourbe, traître au cœur",verbe statif,racine,expansion T2 ; grappe : les qualités morales et le caractère
xilmar,n,"traître, fourbe",nom,xilm + -ar (agentif),expansion T2 (agentif)
xilmas,n,"perfidie, fourberie",nom,xilm + -as (abstrait),expansion T2 (abstrait)
kʼaxilm,v.stat,"être franc, transparent",verbe statif,xilm + kʼa- (privatif),expansion T2 (privatif)
sax,v,"connaître, savoir (par expérience directe)",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
saxar,n,"celui qui sait, savant",nom,sax + -ar (agentif),expansion T2 (agentif)
saxas,n,"savoir, connaissance (domaine)",nom,sax + -as (abstrait),expansion T2 (abstrait)
saxus,v.stat,avoir besoin de savoir,verbe statif,sax + -us (désidératif),expansion T2 (désidératif)
tarn,v,"vérifier, tester la vérité",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
tarnar,n,"vérificateur, testeur",nom,tarn + -ar (agentif),expansion T2 (agentif)
tarnil,n,outil de vérification,nom,tarn + -il (instrumental),expansion T2 (instrumental)
tarnut,n,"résultat d'une vérification, test",nom,tarn + -ut (résultatif),expansion T2 (résultatif)
park,v,"mentir, tromper",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
parkar,n,"menteur, trompeur",nom,park + -ar (agentif),expansion T2 (agentif)
parkas,n,"mensonge, tromperie",nom,park + -as (abstrait),expansion T2 (abstrait)
lark,v.stat,"être certain, sûr",verbe statif,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
larkas,n,"certitude, assurance",nom,lark + -as (abstrait),expansion T2 (abstrait)
larkus,v.stat,désirer la certitude,verbe statif,lark + -us (désidératif),expansion T2 (désidératif)
kist,v,"croire, tenir pour vrai",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
kistar,n,croyant,nom,kist + -ar (agentif),expansion T2 (agentif)
kistas,n,croyance,nom,kist + -as (abstrait),expansion T2 (abstrait)
kistus,v.stat,avoir envie de croire,verbe statif,kist + -us (désidératif),expansion T2 (désidératif)
marn,v,"oublier, perdre la mémoire",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
marnas,n,"oubli, amnésie",nom,marn + -as (abstrait),expansion T2 (abstrait)
kʼamarn,v.stat,"se ressouvenir, retrouver la mémoire",verbe statif,marn + kʼa- (privatif),expansion T2 (privatif)
sirk,v,"prouver, démontrer",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
sirkar,n,"prouveur, démonstrateur",nom,sirk + -ar (agentif),expansion T2 (agentif)
sirkut,n,"preuve, démonstration",nom,sirk + -ut (résultatif),expansion T2 (résultatif)
sirkil,n,méthode de preuve,nom,sirk + -il (instrumental),expansion T2 (instrumental)
sirt,v,"discerner, distinguer le vrai du faux",radical verbal,racine,"expansion T2 ; grappe : la vérité, l'erreur, la connaissance"
sirtar,n,"celui qui discerne, sage",nom,sirt + -ar (agentif),expansion T2 (agentif)
sirtas,n,"discernement, sagesse",nom,sirt + -as (abstrait),expansion T2 (abstrait)
sirtil,n,critère de discernement,nom,sirt + -il (instrumental),expansion T2 (instrumental)
nurk,v,"gouverner, diriger, commander",radical verbal,racine,"expansion T2 ; grappe : le groupe, la foule, la société"
nurkar,n,"leader, chef, gouvernant",nom,nurk + -ar (agentif),expansion T2 (agentif)
nurkus,v.stat,"avoir soif de pouvoir, ambitionner le commandement",verbe statif,nurk + -us (désidératif),expansion T2 (désidératif)
spalm,v,"coopérer, collaborer, s'accorder",radical verbal,racine,"expansion T2 ; grappe : le groupe, la foule, la société"
spalmut,n,"le fruit de la collaboration, l'accord",nom,spalm + -ut (résultatif),expansion T2 (résultatif)
spalmas,n,"la coopération, l'harmonie",nom,spalm + -as (abstrait),expansion T2 (abstrait)
karx,v,"conflictuer, se disputer, être en désaccord",radical verbal,racine,"expansion T2 ; grappe : le groupe, la foule, la société"
karxar,n,"celui qui dispute, opposant",nom,karx + -ar (agentif),expansion T2 (agentif)
karxas,n,"la discorde, le conflit",nom,karx + -as (abstrait),expansion T2 (abstrait)
sparn,v,"transmettre, passer, hériter",radical verbal,racine,"expansion T2 ; grappe : le groupe, la foule, la société"
sparnar,n,"celui qui transmet, maître, aîné",nom,sparn + -ar (agentif),expansion T2 (agentif)
sparnut,n,"ce qui est transmis, l'héritage",nom,sparn + -ut (résultatif),expansion T2 (résultatif)
hulp,v,"interdire, défendre, établir une prohibition",radical verbal,racine,"expansion T2 ; grappe : le pouvoir, l'autorité, la loi"
hulpar,n,"celui qui interdit, gardien des règles",nom,hulp + -ar (agentif),expansion T2 (agentif)
hulput,n,"interdiction, défense",nom,hulp + -ut (résultatif),expansion T2 (résultatif)
spuk,n,"droit, prérogative, dû légal",nom,racine,"expansion T2 ; grappe : le pouvoir, l'autorité, la loi"
spukar,n,"celui qui a des droits, ayant-droit",nom,spuk + -ar (agentif),expansion T2 (agentif)
spukas,n,"système de droits, justice",nom,spuk + -as (abstrait),expansion T2 (abstrait)
pilk,v,"punir, châtier, infliger une sanction",radical verbal,racine,"expansion T2 ; grappe : le pouvoir, l'autorité, la loi"
pilkar,n,"punisseur, bourreau",nom,pilk + -ar (agentif),expansion T2 (agentif)
pilkut,n,"punition, châtiment",nom,pilk + -ut (résultatif),expansion T2 (résultatif)
pilkil,n,instrument de punition,nom,pilk + -il (instrumental),expansion T2 (instrumental)
skarn,n,"hiérarchie, rang, position dans l'ordre",nom,racine,"expansion T2 ; grappe : le pouvoir, l'autorité, la loi"
skarnar,n,"celui qui occupe un rang, dignitaire",nom,skarn + -ar (agentif),expansion T2 (agentif)
skarnas,n,système hiérarchique,nom,skarn + -as (abstrait),expansion T2 (abstrait)
maks,v,"posséder, accumuler, détenir richesse",radical verbal,racine,"expansion T2 ; grappe : l'argent, la valeur, le commerce"
maksar,n,"le possédant, celui qui détient",nom,maks + -ar (agentif),expansion T2 (agentif)
maksus,v.stat,"avoir besoin de posséder, convoiter",verbe statif,maks + -us (désidératif),expansion T2 (désidératif)
kult,n,"marché, place d'échange, économie",nom,racine,"expansion T2 ; grappe : l'argent, la valeur, le commerce"
kultar,n,le commerçant de marché,nom,kult + -ar (agentif),expansion T2 (agentif)
kultil,n,"l'étal, le lieu commercial",nom,kult + -il (instrumental),expansion T2 (instrumental)
kultas,n,"l'économie, le commerce organisé",nom,kult + -as (abstrait),expansion T2 (abstrait)
piks,n,"fabriquer, construire, créer (noyau de l'artisanat)",nom,racine,expansion T2 ; grappe : les métiers et rôles sociaux
piksar,n,"artisan, maker, fabricant",nom,piks + -ar (agentif),expansion T2 (agentif)
piksut,n,"objet fabriqué, produit, artefact",nom,piks + -ut (résultatif),expansion T2 (résultatif)
piksil,n,outil de fabrication,nom,piks + -il (instrumental),expansion T2 (instrumental)
mirp,n,"échanger, commercer, trafiquer (noyau du commerce)",nom,racine,expansion T2 ; grappe : les métiers et rôles sociaux
mirpar,n,"commerçant, marchand, négociant",nom,mirp + -ar (agentif),expansion T2 (agentif)
mirpas,n,"commerce, négoce, économie",nom,mirp + -as (abstrait),expansion T2 (abstrait)
mirput,n,"marchandise, bien échangé",nom,mirp + -ut (résultatif),expansion T2 (résultatif)
xirp,n,"soigner, guérir, traiter (noyau de la médecine)",nom,racine,expansion T2 ; grappe : les métiers et rôles sociaux
